County,Correlation
yates, -0.9628
cortland, -0.9343
new_york, -0.8672
niagara, -0.7726
wyoming, -0.7341
chenango, -0.6573
steuben, -0.5020
genesee, -0.4726
westchester, -0.3632
chemung, -0.3447
allegany, -0.3346
queens, -0.3165
rockland, -0.3035
putnam, -0.2734
ontario, -0.2346
montgomery, -0.2192
schenectady, -0.1962
delaware, -0.1695
monroe, -0.1563
schuyler, -0.1152
columbia, -0.1093
lewis, -0.0823
nassau, -0.0609
saratoga, -0.0515
erie, -0.0449
kings, -0.0283
