Albany,2009,331391,5.294293382752341,20394,22271,15184,4745,0,2.0683771607502317,1.8291912131499982E9,29223.10785618427,0.00,2010,329308,5.2974920772806975,19441,22367,15531,4823,1,2.0922413654424656,1.97870431351005E9,31830.90123562328,-0.01,2011,330952,5.318121193617329,19385,21791,15863,5190,2,2.110138034098761,2.1643894831199255E9,34779.924525074726,0.00,2012,330641,5.364239592459198,19757,21090,15482,5306,3,2.102712612349525,2.245846035019976E9,36436.06273759655,-0.00,
Allegheny,2009,8550,3.21066466391288,1140,886,526,111,0,1.8527975966954562,1.8779067920000006E7,7051.8467592940315,0.00,2010,7121,3.115048118985127,969,670,509,138,0,1.9195100612423448,1.6424459740000002E7,7184.803035870517,-0.17,2011,7826,3.060617911615174,1056,798,581,122,0,1.9096597575283536,1.7226511509999998E7,6737.000981619084,0.10,2012,6649,3.187440076701822,801,687,486,111,1,1.9544582933844679,1.6753111130000003E7,8031.213389261747,-0.15,
Bronx,2009,1161066,5.533259624274426,82427,78199,38825,10362,21,1.8907707997750602,5.949790186689698E9,28354.747975493476,0.00,2010,1119796,5.486829210928619,73249,77421,41783,11618,17,1.9595076633609032,5.864917168079377E9,28737.19752302623,-0.04,2011,1106498,5.558671342020919,68399,75639,42447,12561,12,1.9957097931256216,6.25699221791969E9,31433.010569380232,-0.01,2012,1080901,5.593278137128072,62737,74178,43495,12831,9,2.0331280724450194,6.611222558999405E9,34210.72475549498,-0.02,
Broome,2009,154165,5.14672497830006,10132,11077,6941,1802,2,2.0136542698804836,4.972580520500004E8,16600.722843359832,0.00,2010,144874,4.983968625292418,9433,10591,7048,1996,0,2.055284161277006,5.374865694299972E8,18490.66222065492,-0.06,2011,146380,5.007868628121793,8952,10366,7646,2264,2,2.1100923708518646,5.808777822200096E8,19872.657619569265,0.01,2012,147637,4.944803563653415,9777,10513,7224,2342,1,2.0713065612754127,6.332291299700016E8,21208.73262451022,0.01,
Cattaraugus,2009,44760,4.987742366837531,3388,3309,1889,388,0,1.9194339202139514,8.204164168000029E7,9142.148616001816,0.00,2010,34547,4.49479573250065,2740,2761,1810,375,0,1.9765807962529274,7.189932951000018E7,9354.5835948478,-0.23,2011,31751,4.476385168475963,2624,2572,1584,312,1,1.9410686592415056,6.883254920000029E7,9704.292852107752,-0.08,2012,23090,3.978976391521627,1927,1905,1532,438,1,2.082543511976564,6.481089370999896E7,11168.51520075805,-0.27,
Cayuga,2009,26910,4.672686230248307,1396,2434,1689,240,0,2.1342246917867684,7.911178240000026E7,13737.069352318156,0.00,2010,27417,4.8915254237288135,1300,2508,1590,207,0,2.1256021409455843,8.204032547000052E7,14636.989379125873,0.02,2011,30126,5.338649654439128,1419,2529,1508,187,0,2.0820485557327664,8.713555379000036E7,15441.352789296538,0.10,2012,27642,4.840980735551664,1469,2550,1471,220,0,2.0774080560420316,8.410337633000042E7,14729.137711033347,-0.08,
Chautatuqua,2009,71373,5.034066864155735,5479,5300,2904,495,0,1.8882070813937086,1.4488935634000045E8,10219.308530117114,0.00,2010,67640,5.024886709754105,4974,5146,2813,527,1,1.9176138474110394,1.380423490099994E8,10254.98469727356,-0.05,2011,68178,5.0457371225577266,4698,5107,3109,598,0,1.9709147424511546,1.3994913329000044E8,10357.395891799913,0.01,2012,62670,4.892271662763466,4340,4671,3130,669,0,2.009992193598751,1.306596699799997E8,10199.818109289594,-0.08,
Chemung,2009,92418,5.369081508162435,5784,6819,3743,866,1,1.9819322605007843,2.6637791205000052E8,15475.391393133128,0.00,2010,92620,5.333717247336597,5487,7038,3970,870,0,2.012841923409156,2.9296632481999856E8,16871.08118744593,0.00,2011,89503,5.217921063370839,5403,6765,4140,845,0,2.0248936046172683,2.913334862699997E8,16984.404259896208,-0.03,2012,85879,5.127716742297587,5177,6354,4239,978,0,2.060783377119656,2.9530213592999995E8,17632.083587891088,-0.04,
Chenango,2009,8584,4.136867469879518,838,738,426,73,0,1.8718072289156626,2.8998133149999984E7,13975.003927710835,0.00,2010,9047,4.071557155715571,842,832,459,89,0,1.9077407740774077,3.365307105000004E7,15145.396512151234,0.05,2011,9036,4.08499095840868,856,797,459,100,0,1.9109403254972874,3.403790356999998E7,15387.840673598543,-0.00,2012,7580,3.776781265570503,780,630,480,117,0,1.9671150971599403,3.3388971089999977E7,16636.258639760825,-0.16,
Clinton,2009,60155,5.174623655913979,3831,4844,2486,464,0,1.9641290322580645,2.185329581800003E8,18798.534036989273,0.00,2010,60676,5.246066055680442,3665,4747,2618,536,0,2.0021615078678887,2.3576703033000016E8,20384.491641881392,0.01,2011,57146,5.65522018802573,3038,4187,2328,552,0,2.038990598713508,2.2651313478999975E8,22415.946045521996,-0.06,2012,56195,5.669962667742912,3027,4119,2250,514,1,2.0251236000403594,2.455136798400002E8,24771.83733629303,-0.02,
Columbia,2009,29691,4.915728476821192,1710,2356,1658,316,0,2.096026490066225,7.758328348999958E7,12844.914485099267,0.00,2010,27371,4.569449081803005,1672,2326,1634,358,0,2.113188647746244,7.623065513999979E7,12726.319722871418,-0.08,2011,27129,4.725483365267375,1556,2262,1568,355,0,2.1257620623584743,7.785300077000031E7,13560.878029959991,-0.01,2012,29014,4.81001326259947,1658,2397,1673,303,1,2.1026193633952253,9.150402639000015E7,15169.765648209574,0.07,
Cortland,2009,23068,4.478353717724714,1869,1786,1227,269,0,1.9798097456804504,4.839586996000009E7,9395.431947194736,0.00,2010,22032,4.565271446332367,1658,1680,1250,237,1,2.0132615002072107,4.6768216929999776E7,9690.886226688723,-0.04,2011,23532,4.496846932925664,1715,1790,1452,276,0,2.0552264475444297,5.1471560529999845E7,9835.956531626189,0.07,2012,18733,3.8254033081478456,1579,1845,1247,226,0,2.0245047988564426,4.371653044000011E7,8927.206542781318,-0.20,
Delaware,2009,5791,4.489147286821705,380,675,226,9,0,1.8945736434108527,1.1414377500000002E7,8848.354651162792,0.00,2010,5820,4.166070150322119,417,700,269,11,0,1.9098067287043665,1.2354523420000002E7,8843.610178954905,0.01,2011,5217,3.931424265259985,417,676,228,6,0,1.8666164280331574,1.141092406E7,8599.038477769405,-0.10,2012,4703,4.712424849699399,340,495,155,8,0,1.8306613226452906,9890601.479999993,9910.422324649291,-0.10,
Dutchess,2009,179782,5.12974006334351,13268,13234,6821,1724,0,1.9144291950808914,7.449008599000463E8,21254.340168917348,0.00,2010,175186,4.945962732919255,12641,13530,7164,2080,5,1.9625352907961604,7.338457060899712E8,20718.39938142211,-0.03,2011,190011,5.376046853779991,12008,13532,7553,2251,0,2.0013297872340425,1.1641021645800183E9,32936.34462935769,0.08,2012,169976,5.267307096374341,10711,12250,7174,2134,1,2.0225906414626587,1.1111837173100064E9,34433.95467338105,-0.11,
Erie,2009,716486,5.418769805555765,46895,48855,28462,8004,7,1.9815538900191343,2.8462578045900335E9,21526.192905848708,0.00,2010,715241,5.521987863440545,42888,48476,29320,8841,1,2.03174652193382,2.9141315908500185E9,22498.429588268136,-0.00,2011,694838,5.382168861347792,39770,48026,31269,10033,2,2.089550735863672,2.9443847249999433E9,22807.00793958128,-0.03,2012,689809,5.340567031061286,37764,47833,32785,10782,0,2.1284026508934377,3.1990619206100307E9,24767.442326112778,-0.01,
Essex,2009,2048,2.9049645390070924,422,209,67,7,0,1.5163120567375887,5403362.3199999975,7664.343716312053,0.00,2010,1887,2.9857594936708862,144,362,121,5,0,1.9794303797468353,4950965.540000003,7833.806234177219,-0.08,2011,1743,3.169090909090909,110,309,128,3,0,2.0436363636363635,4579198.789999997,8325.815981818178,-0.08,2012,1477,3.2749445676274944,100,233,117,1,0,2.0421286031042127,3999683.669999999,8868.478203991128,-0.15,
Franklin,2009,26527,4.150680644656548,2270,2613,1278,230,0,1.9167579408543265,7.149479439000005E7,11186.793051165709,0.00,2010,26390,4.085771791298963,2183,2534,1460,280,2,1.97414460442793,7.58404411400001E7,11741.82398823349,-0.01,2011,25812,4.120031923383879,2086,2395,1418,366,0,2.0102154828411813,8.025463776999985E7,12809.998047885052,-0.02,2012,23458,3.985389058783554,2149,2072,1321,344,0,1.9762147468569486,8.119351297000016E7,13794.344711179097,-0.09,
Fulton,2009,16700,4.115327747658945,1944,1393,640,81,0,1.7185805815672746,5.23809319300002E7,12908.066025135584,0.00,2010,16235,3.9482003891050583,1378,1715,890,129,0,1.9440661478599222,5.6023128819999926E7,13624.301755836557,-0.03,2011,15927,4.122961428941237,1244,1571,927,121,0,1.980585037535594,6.0345700229999915E7,15621.460064716519,-0.02,2012,14067,4.003130335799659,1049,1428,846,175,16,2.032726237905521,6.425635054999999E7,18285.8140438247,-0.12,
Genesee,2009,26600,5.0274050274050275,1906,1931,1230,224,0,1.9569079569079568,6.42399552599999E7,12141.363685503668,0.00,2010,26503,5.062655205348615,1856,1887,1267,225,0,1.973447946513849,6.577528631999969E7,12564.524607449797,-0.00,2011,28582,5.61311861743912,1644,1648,1444,356,0,2.100549882168107,7.042795514999981E7,13831.098811861708,0.08,2012,23697,4.7394,1849,1559,1271,321,0,2.0128,6.3814452719999865E7,12762.890543999973,-0.17,
Herkimer,2009,4088,3.8933333333333335,289,621,134,6,0,1.8638095238095238,9845369.300000008,9376.542190476199,0.00,2010,4418,3.94816800714924,313,644,154,8,0,1.872207327971403,1.058608327999999E7,9460.306773905264,0.08,2011,3963,3.908284023668639,277,588,141,8,0,1.8816568047337279,9683077.170000004,9549.385769230772,-0.10,2012,3670,3.963282937365011,251,537,129,9,0,1.8876889848812095,1.0059435679999981E7,10863.321468682485,-0.07,
Hospital County,2009,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.00,2010,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.00,2011,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.00,2012,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.00,
Jefferson,2009,58935,4.922736384898095,5435,3802,2222,512,1,1.8169896424991647,1.651954198799996E8,13798.481446708955,0.00,2010,60357,4.9844743579156,5530,3720,2316,541,2,1.823602279296391,1.7171895597E8,14181.101327112065,0.02,2011,55992,4.879051934471941,5043,3717,2217,499,0,1.8407110491460439,1.646525107299999E8,14347.55234663645,-0.07,2012,52990,4.443605870020964,5326,3809,2299,491,0,1.8285115303983228,1.6367759358999988E8,13725.584368134163,-0.05,
Kings,2009,1715745,5.686320973579202,124793,109067,51262,16567,43,1.8658312674824016,7.182238999900289E9,23803.371866094047,0.00,2010,1675576,5.62277599178518,116271,109504,54159,17931,133,1.9110195370438727,7.403046322160107E9,24842.604051571172,-0.02,2011,1639243,5.5930061960912765,112831,106444,55527,18274,12,1.9290997925537723,7.606243411689716E9,25952.080643662368,-0.02,2012,1626663,5.547017902813299,111056,106889,56908,18396,1,1.9408081841432225,7.679433641770644E9,26187.326996660337,-0.01,
Lewis,2009,6932,3.1944700460829494,921,851,363,35,0,1.7751152073732719,1.8529449889999997E7,8538.917,0.00,2010,6032,3.201698513800425,729,738,378,39,0,1.855095541401274,1.6039011179999981E7,8513.275573248398,-0.13,2011,6015,3.116580310880829,790,765,339,36,0,1.8036269430051814,1.651950743999999E7,8559.33027979274,-0.00,2012,5497,2.8481865284974095,801,768,334,27,0,1.7860103626943005,1.511509356999998E7,7831.654699481855,-0.09,
Livingston,2009,11284,3.6565132858068696,1165,1355,498,68,0,1.8279325988334414,3.2911241590000004E7,10664.69267336358,0.00,2010,9857,3.6697691734921816,981,1068,541,96,0,1.9076693968726732,3.208118140000003E7,11943.850111690257,-0.13,2011,9219,3.445067264573991,1044,1050,502,80,0,1.8572496263079223,3.0777562490000013E7,11501.33127428999,-0.06,2012,7483,3.4869524697110905,840,814,422,70,0,1.8704566635601119,2.400387725000003E7,11185.404123951552,-0.19,
Madison,2009,21840,3.7180796731358527,2619,2216,924,115,0,1.7505958461014641,8.083672365000029E7,13761.784754851938,0.00,2010,22083,3.958945858730728,2229,2162,1040,147,0,1.839548225170312,8.383387463000026E7,15029.378743277208,0.01,2011,20476,3.855394464319337,1980,2136,1035,160,0,1.882319713801544,8.124374655000006E7,15297.25975334213,-0.07,2012,18525,3.6252446183953033,1889,2126,936,159,0,1.87573385518591,8.104858696000025E7,15860.780227005918,-0.10,
