County,Force_2009,Employed_2009,Unemployed_2009,UnemployedPercent_2009,Force_2010,Employed_2010,Unemployed_2010,UnemployedPercent_2010,Force_2011,Employed_2011,Unemployed_2011,UnemployedPercent_2011,Force_2012,Employed_2012,Unemployed_2012,UnemployedPercent_2012,StayDays_2009,AvgStay_2009,Sev1_2009,Sev2_2009,Sev3_2009,Sev4_2009,Sev0_2009,AvgSev_2009,Charges_2009,AvgCharges_2009,StayDays_2010,AvgStay_2010,Sev1_2010,Sev2_2010,Sev3_2010,Sev4_2010,Sev0_2010,AvgSev_2010,Charges_2010,AvgCharges_2010,StayDays_2011,AvgStay_2011,Sev1_2011,Sev2_2011,Sev3_2011,Sev4_2011,Sev0_2011,AvgSev_2011,Charges_2011,AvgCharges_2011,StayDays_2012,AvgStay_2012,Sev1_2012,Sev2_2012,Sev3_2012,Sev4_2012,Sev0_2012,AvgSev_2012,Charges_2012,AvgCharges_2012
Cortland,24235,21995,2240,9.2,24200,22000,2200,9.1,24240,22165,2075,8.6,24324,22183,2141,8.8,23068,4.478353717724714,1869,1786,1227,269,0,1.9798097456804504,48393296,9394.932246165794,2010,22032,4.565271446332367,1658,1680,1250,237,1,2.0132615002072107,46765842,-0.04,2011,23532,4.496846932925664,1715,1790,1452,276,0,2.0552264475444297,9835.456908083317,0.07,2012,18733,3.8254033081478456,1579,1845,1247,226,0
Delaware,22199,20276,1923,8.7,22105,20130,1975,8.9,21612,19725,1887,8.7,21566,19655,1911,8.9,5791,4.489147286821705,380,675,226,9,0,1.8945736434108527,11414213,8848.227131782945,2010,5820,4.166070150322119,417,700,269,11,0,1.9098067287043665,12354339,0.01,2011,5217,3.931424265259985,417,676,228,6,0,1.8666164280331574,8598.896759608138,-0.10,2012,4703,4.712424849699399,340,495,155,8,0
Dutchess,144400,133175,11225,7.8,146725,135247,11478,7.8,145003,133965,11038,7.6,144874,133413,11461,7.9,179782,5.12974006334351,13268,13234,6821,1724,0,1.9144291950808914,744885863,21253.912260678517,2010,175186,4.945962732919255,12641,13530,7164,2080,5,1.9625352907961604,733831076,-0.03,2011,190011,5.376046853779991,12008,13532,7553,2251,0,2.0013297872340425,32936.03547985514,0.08,2012,169976,5.267307096374341,10711,12250,7174,2134,1
Erie,469242,430674,38568,8.2,466301,427480,38821,8.3,461693,424825,36868,8,462497,423943,38554,8.3,716486,5.418769805555765,46895,48855,28462,8004,7,1.9815538900191343,-1448775143,-10957.058476966942,2010,715241,5.521987863440545,42888,48476,29320,8841,1,2.03174652193382,-1380900056,-0.00,2011,694838,5.382168861347792,39770,48026,31269,10033,2,2.089550735863672,-10462.018280402788,-0.03,2012,689809,5.340567031061286,37764,47833,32785,10782,0
Essex,18289,16601,1688,9.2,18082,16356,1726,9.5,17691,16027,1664,9.4,17630,15877,1753,9.9,2048,2.9049645390070924,422,209,67,7,0,1.5163120567375887,5403026,7663.866666666667,2010,1887,2.9857594936708862,144,362,121,5,0,1.9794303797468353,4950685,-0.08,2011,1743,3.169090909090909,110,309,128,3,0,2.0436363636363635,8325.367272727273,-0.08,2012,1477,3.2749445676274944,100,233,117,1,0
Franklin,22962,20984,1978,8.6,22749,20673,2076,9.1,22393,20332,2061,9.2,22256,20097,2159,9.7,26527,4.150680644656548,2270,2613,1278,230,0,1.9167579408543265,71491729,11186.313409482083,2010,26390,4.085771791298963,2183,2534,1460,280,2,1.97414460442793,75837292,-0.01,2011,25812,4.120031923383879,2086,2395,1418,366,0,2.0102154828411813,12809.503431763767,-0.02,2012,23458,3.985389058783554,2149,2072,1321,344,0
Fulton,27169,24524,2645,9.7,27217,24437,2780,10.2,26802,24086,2716,10.1,26698,23872,2826,10.6,16700,4.115327747658945,1944,1393,640,81,0,1.7185805815672746,52378950,12907.57762444554,2010,16235,3.9482003891050583,1378,1715,890,129,0,1.9440661478599222,56021147,-0.03,2011,15927,4.122961428941237,1244,1571,927,121,0,1.980585037535594,15620.977478643541,-0.02,2012,14067,4.003130335799659,1049,1428,846,175,16
Genesee,32997,30446,2551,7.7,32644,30085,2559,7.8,32008,29565,2443,7.6,31747,29253,2494,7.9,26600,5.0274050274050275,1906,1931,1230,224,0,1.9569079569079568,64237440,12140.8883008883,2010,26503,5.062655205348615,1856,1887,1267,225,0,1.973447946513849,65772694,-0.00,2011,28582,5.61311861743912,1644,1648,1444,356,0,2.100549882168107,13830.613707776905,0.08,2012,23697,4.7394,1849,1559,1271,321,0
Herkimer,31077,28572,2505,8.1,31444,28757,2687,8.5,30596,27957,2639,8.6,30291,27570,2721,9,4088,3.8933333333333335,289,621,134,6,0,1.8638095238095238,9844860,9376.057142857142,2010,4418,3.94816800714924,313,644,154,8,0,1.872207327971403,10585548,0.08,2011,3963,3.908284023668639,277,588,141,8,0,1.8816568047337279,9548.886587771203,-0.10,2012,3670,3.963282937365011,251,537,129,9,0
Jefferson,49369,44949,4420,9,49807,45046,4761,9.6,48850,43984,4866,10,48149,43267,4882,10.1,58935,4.922736384898095,5435,3802,2222,512,1,1.8169896424991647,165189535,13797.989893083863,2010,60357,4.9844743579156,5530,3720,2316,541,2,1.823602279296391,171713018,0.02,2011,55992,4.879051934471941,5043,3717,2217,499,0,1.8407110491460439,14347.065789473685,-0.07,2012,52990,4.443605870020964,5326,3809,2299,491,0
Kings,1121965,1011576,110389,9.8,1123305,1007807,115498,10.3,1124851,1014948,109903,9.8,1138237,1025201,113036,9.9,1715745,5.686320973579202,124793,109067,51262,16567,43,1.8658312674824016,-1407801903,-4665.73615990349,2010,1675576,5.62277599178518,116271,109504,54159,17931,133,1.9110195370438727,-1186994324,-0.02,2011,1639243,5.5930061960912765,112831,106444,55527,18274,12,1.9290997925537723,-3356.7356732448957,-0.02,2012,1626663,5.547017902813299,111056,106889,56908,18396,1
Lewis,12716,11586,1130,8.9,12622,11452,1170,9.3,12416,11202,1214,9.8,12208,10970,1238,10.1,6932,3.1944700460829494,921,851,363,35,0,1.7751152073732719,18528487,8538.473271889401,2010,6032,3.201698513800425,729,738,378,39,0,1.855095541401274,16038123,-0.13,2011,6015,3.116580310880829,790,765,339,36,0,1.8036269430051814,8558.8792746114,-0.00,2012,5497,2.8481865284974095,801,768,334,27,0
Livingston,32047,29317,2730,8.5,32516,29744,2772,8.5,32062,29492,2570,8,32082,29411,2671,8.3,11284,3.6565132858068696,1165,1355,498,68,0,1.8279325988334414,32909732,10664.203499675956,2010,9857,3.6697691734921816,981,1068,541,96,0,1.9076693968726732,32079854,-0.13,2011,9219,3.445067264573991,1044,1050,502,80,0,1.8572496263079223,11500.844170403587,-0.06,2012,7483,3.4869524697110905,840,814,422,70,0
Madison,35980,33034,2946,8.2,36378,33345,3033,8.3,35972,32979,2993,8.3,35839,32733,3106,8.7,21840,3.7180796731358527,2619,2216,924,115,0,1.7505958461014641,80833745,13761.277664283281,2010,22083,3.958945858730728,2229,2162,1040,147,0,1.839548225170312,83831116,0.01,2011,20476,3.855394464319337,1980,2136,1035,160,0,1.882319713801544,15296.766334023725,-0.07,2012,18525,3.6252446183953033,1889,2126,936,159,0
Manhattan,933518,855447,78071,8.4,925096,850338,74758,8.1,924688,855500,69188,7.5,936614,864142,72472,7.7,2573129,5.5846047999583295,188736,166712,82163,23128,15,1.869025553766218,980239933,2127.4691766105125,2010,2458406,5.52976424781309,171139,162813,85258,25358,9,1.920861852952357,1460281265,-0.04,2011,2339312,5.4550525378118335,160193,157889,84998,25748,6,1.9447082087707597,3877.877616979997,-0.05,2012,2325423,5.383260064865166,155845,159199,88964,27953,12
Monroe,374249,344457,29792,8,370765,340872,29893,8.1,368538,340256,28282,7.7,368654,339322,29332,8,583956,5.1935360506585795,38601,40805,25061,7968,4,2.0212381824811674,1977485216,17587.182525636123,2010,572830,5.2406568775444855,36743,38723,25198,8637,4,2.052339783175518,2012574987,-0.02,2011,590455,5.230403316532168,37373,40055,26357,9099,5,2.0635314335320536,18961.659674547565,0.03,2012,580741,5.326384239344773,34831,39327,25831,9041,1
